real_name,DIN_pbias,DIN_2009,DIN_2010,DIN_2011,DIN_2012,DIN_2013,DIN_2014,DIN_2015,DIN_2016,DIN_2017
0,-94.75668252437049,1350819.2598822482,2478770.134422368,1206638.6833526513,1003541.907532112,338427.610909286,142202.8488092123,363527.7071215969,1264286.2833787103,118672.17524778983
1,-94.61952625928849,1195545.622021074,2130514.7627471755,1057824.5413068342,926555.857200123,400662.6058678809,207316.81036364197,467140.7324802377,1421441.3670282355,249149.09648773857
2,-95.72842916923082,1478688.0901723804,2560163.12262285,1329359.5487345243,1156629.5551941635,464343.6672040112,263984.8849450288,620348.7884289767,1936824.073675854,337192.4553848965
3,-94.8974034857151,1321887.7813480105,2369383.838859231,1219632.3812325278,994574.1491282961,362041.2392662956,183630.9635566396,439090.7238112723,1428948.22594696,175684.02523400736
4,-97.17579813326098,2149784.104650417,3580678.8191847336,1942210.3820497054,1696777.803182504,724979.7338931077,450598.37323747243,1026158.8230720462,3169761.030661944,607072.4526052136
5,-95.18603587057193,1432654.654723293,2577744.6939124553,1286246.1620203217,1066889.9598759238,385480.2810377874,181502.89081403002,435518.528128008,1468108.9954608069,170056.99576755686
6,-97.39387622534389,2215847.9084668844,3591966.6079094,1979354.6761876687,1800668.5776917825,826970.1872182966,542565.2973002208,1220526.2840568698,3662745.6004215134,791685.0118429962
7,-97.4134783716514,2318959.51747029,3796250.996779529,2087582.9734264684,1839839.0099227447,779007.609423871,501735.4629730576,1152238.2073802904,3581892.581325565,700873.1420235897
8,-95.00341898423916,1382536.6582405067,2564725.3195879296,1230567.9804051653,1042327.3396871773,399665.91604576755,171583.01277051793,408871.50020132685,1315038.0653365604,159798.43042509124
9,-93.13924230222914,971168.8279183066,1670872.0988303043,898593.5226869785,727596.8479057454,248459.89900125333,141995.15577577127,343791.3872209284,1168312.1774876497,147158.17931171795
10,-97.19825334524393,2115278.2045972445,3461010.2899792762,1911727.305835454,1683550.4426380983,744139.2300668632,481468.7367557986,1086514.1509037463,3317812.972844138,669530.2677266502
11,-94.39642415676045,1094296.420123136,1847518.8488343724,1035413.0075913462,850526.2680227257,351912.5538598356,222194.12106528785,507567.371224602,1554793.8508028858,271179.424588625
12,-95.80722825329335,1466083.6986561643,2460595.6847809292,1321665.2444076538,1151879.5045924133,481166.39189835766,293477.8903470346,673676.6283882126,2099297.8567935037,390404.363118089
13,-96.22303759040844,1674964.997837338,2830310.950381381,1516300.9504261469,1292284.5232870667,503570.9089859582,301193.7040209859,706240.7148705777,2270315.2172013787,381212.64168939396
14,-95.65438271690024,1541380.5926102705,2742623.7491531405,1379440.1584394623,1163676.6051494488,445760.7075958062,223502.13588600044,525433.8721056846,1712773.262905892,240035.81283788788
15,-92.38849258341433,908932.8692560988,1764164.8181035116,777037.3376384359,707121.9910769581,289322.7848315566,107184.38832757394,259312.32279304322,771251.2421407624,110458.92373085453
16,-96.47866408410124,1725637.9632495027,2967380.8916356773,1559511.618040139,1367042.9989598403,621657.3285658084,363337.4674087536,812927.0081283229,2414280.6358605055,477731.63583923905
17,-94.84778092724345,1298976.9129233956,2422635.5931781502,1152357.6378101872,1004473.3653856319,414085.746203106,185231.47866292813,432476.4939056269,1305383.6968958266,197435.74490789007
18,-97.09738720652992,2153236.33412882,3645020.9006993435,1932447.3269244912,1680519.3787460867,678119.767132695,403665.23423363577,940759.3828987605,2970110.6251828484,529532.4689700792
19,-96.03836940142816,1676081.7540074345,2933389.8670126805,1518356.9779611458,1265197.7402030616,466168.20362380386,248684.2814788544,594817.8022264253,1964586.9837093102,274148.1957427335
20,-92.97157562615995,916614.2963231507,1537676.899685442,831451.4228022693,690874.5096304698,269625.7315859322,161926.74296011194,366590.73963229905,1204753.7420305468,187716.1122107351
21,-93.30081710932046,1021605.879643798,1923089.2099702025,903349.9440280411,777261.1172559981,314977.19851294765,132828.70702953511,311638.40566180006,956362.5648133968,129215.03279532121
22,-94.70796368638526,1246312.9372587197,2206654.1751768934,1118587.5195790622,954625.7395938336,363970.37967903516,188747.51393040398,449307.11936966964,1447150.6874747926,215425.03108018645
23,-90.1765231644815,723145.2704780126,1309128.4197904167,644677.6224538321,531005.9190185994,179503.23150524686,78887.94500574323,194215.18706580595,689050.0053842755,62868.02474204687
24,-97.5194365513304,2349501.104542964,3846908.7672720496,2126322.434773191,1890332.6395644313,872771.3523174787,564849.280201938,1260233.0816591997,3768536.6900781835,794764.4918395786
25,-96.307716755209,1614784.773809677,2579380.551445982,1503022.5417417362,1258591.8396706535,531828.4962440855,366484.1298303297,823452.0463074282,2578263.2813840355,483787.64170104574
26,-96.12091493334076,1563475.655569802,2559524.520813293,1445985.8638058638,1223312.5988431561,502207.6399178723,329806.1479087796,753955.3497964237,2364233.8012659326,431759.95278320205
27,-92.90980839248373,1011893.0909547374,1805367.081024021,909171.6906760975,731223.0304395424,230272.30196296395,104473.3827070577,263873.89998711424,980714.2896227121,76514.70815232677
28,-93.71478786724452,1076497.7969527598,1910595.3140074622,981381.7313905365,802579.2902021755,300989.14983366505,152421.57296622187,354217.8530358538,1171311.5417176192,146497.0884759274
29,-94.52239485778692,1235201.9476018099,2251904.648880603,1083127.3455391221,940104.5791721835,368215.45536564855,168530.97391616894,399633.23907026125,1283616.1862112721,182961.655870942
30,-95.19211500471665,1357992.1939576115,2314670.5858924543,1285607.8866046264,1010511.6183492092,376312.64003772376,224798.56834512608,516868.7353038802,1699913.0146797765,228912.9161186478
31,-94.26748328797713,1187733.8452718295,2212609.338340261,1039046.1608846666,910616.1740590214,359841.03867546195,154439.51277121733,371373.70243243634,1161100.6356250802,164649.9134817143
32,-93.4232338323844,1043184.4600591265,1815113.7718657881,961612.6434363065,768976.9130072938,244627.915613707,131820.64147833065,331366.67933848314,1170179.5386702125,123881.03219241842
33,-95.82435151889538,1583353.5857265794,2790495.561753783,1458053.0484796928,1192700.6604988216,459489.38553313934,244840.57715000893,568210.9189570898,1829486.0968232523,254011.93385827498
34,-93.59459555627929,1019928.5820529987,1794490.9817206545,918596.0735790425,779999.1154091491,308780.45366477466,164945.1339170743,381364.2420950808,1211459.6260891873,187519.96477393026
35,-96.24712953445068,1825580.614085166,3295620.3335593725,1632597.1741237894,1367068.2853073354,505721.7830173262,237142.63098283534,567312.3453335727,1886508.4278542637,232516.9286463622
36,-95.03706348774706,1408518.2893713359,2560413.041408102,1277852.0009318788,1040607.383736732,364611.65932883625,165303.39492949276,403887.87568588834,1375115.8936892813,137614.60596518853
37,-93.256995561285,989411.0665524103,1712956.8253671941,918864.6086723481,739006.0777471219,257103.0415441697,145356.31814261657,348728.0144872799,1170133.2278449815,146719.40504948315
38,-96.62232607453116,1747828.2999518043,2887637.8245980805,1542260.2443252,1406032.2495866248,645014.0269996686,403275.2462443801,903026.6733361419,2721514.1053002533,576476.9218858037
39,-94.81120166691112,1280158.4723528393,2238970.868634086,1170463.539380319,965509.9346596323,347304.287523019,188700.5888392144,454643.1989663471,1504668.887581175,203327.70889165992
40,-95.60222434450587,1459187.0828075118,2561017.4066507607,1332150.4836879184,1123770.6354320417,455529.54381984286,250724.7361644113,579692.827179787,1801362.4896543121,292890.9081349467
41,-92.47990880939724,908791.0980445165,1567967.4861311617,833450.6392367127,670596.5703891285,215788.16459595683,118633.68581433568,293930.638639144,1039961.0194207277,114894.71512025388
42,-94.88511225842258,1380329.151522683,2563686.6417752854,1216819.936423215,1031819.650151189,369980.0329557624,149466.93802634723,373102.21988627705,1257936.8615373797,131318.4629711103
43,-94.93818767951107,1342358.158289327,2427287.5612312555,1206781.8732815864,1008504.2798609541,380555.74979387556,180878.02865925335,430956.9665705737,1404635.5528881345,181360.3189799931
44,-96.63589047102514,1922507.120670098,3290141.4716284825,1764221.1226751031,1455038.098554236,563349.391886909,326326.0576342902,752396.1446243459,2440302.05818583,370528.21746529517
45,-92.83262988683086,979374.290228094,1724878.8667119106,912997.7287824356,705895.3221156503,231701.75175562938,117620.83319342624,281980.34525899164,1008895.6851239097,84328.2215158045
46,-97.15100225820375,2223509.358411956,3815573.9343601847,1991464.2855766434,1724535.5915215795,695971.5053808012,397819.28624306497,927356.3489149023,2930703.015669624,507508.72095883207
47,-93.4381208491612,1094595.7372581486,1995260.6704676605,972200.4160781614,800892.7557442248,264263.48559604224,110499.1627615236,279055.4556508604,1006674.0668410226,82274.3925397302
48,-94.03886591958951,1198986.9888826613,2108308.698712236,1094045.9249580693,862021.1189997343,259844.97165206177,125912.19624683776,320195.2246207941,1211868.8924148784,90236.22838584178
49,-91.59130558536992,852383.7387537624,1542072.2219212048,758396.0411505867,619379.3154515829,203125.02237796923,87523.45773324794,221200.14329559574,803558.0374659925,67253.95837750693
50,-95.83824234960669,1511607.9007717334,2619916.579086244,1394054.7704035402,1173342.5025943976,485279.8943188392,280010.83507197053,641974.436894514,1972696.3216502152,336406.32577026467
51,-97.2289477176772,2016805.4538818782,3060562.195578128,1880914.1831351903,1629960.8606999007,730068.6081537409,547806.4070009266,1228173.7310462163,3754387.9607463893,793721.6151456909
52,-95.27573492280179,1456087.7953185888,2619192.8260434004,1319292.5946575198,1089122.5356725324,378365.07509861735,180838.81081269472,447306.011372757,1513730.4613615808,171228.77274863352
53,-91.96647930503526,882029.1073753991,1621782.3067838312,793275.2709198943,654715.3078554589,218832.96172823146,92960.5015602163,237498.05150957024,821046.2117549949,73490.99842022614
54,-96.45870897789396,1792548.8084812823,3153799.319027214,1625890.4312843767,1393612.3153044411,582313.177296535,318399.4747750121,734823.7614845427,2250697.241475813,388059.18233613175
55,-94.16937751446656,1171552.8822408759,2070357.819115507,1060626.7029142624,876183.3936556027,298152.5640459272,150842.93104917533,373111.2788530209,1282812.245194774,150542.5780776816
56,-94.97157657271674,1307528.3413332016,2341711.8290403066,1163802.1602597462,1001483.4388633394,409268.91987248685,204832.03923819907,473386.4148177728,1484068.3882511854,234097.66793399287
57,-94.69717076847597,1339562.184203472,2345556.6639306424,1220901.4541720396,967444.4129219468,295243.0352716828,145876.01965665186,368271.69039966667,1379388.0759639242,111866.76237836719
58,-92.6315520545937,965925.166921405,1781954.3119796182,857872.1701440761,717246.7616179261,244292.0079961852,99641.06424906984,253427.31050541525,881223.1689231704,81055.92231062315
59,-95.82367495126363,1580959.45114556,2653608.655151448,1457036.2007307597,1175850.8606941446,406518.4650196869,245151.34558901616,583637.5505992157,2009208.9076954667,266988.6607970203
60,-96.44673769303418,1781090.4559533377,3101362.550099535,1593464.3873649866,1386768.9204397486,585398.8928323009,323776.52508484415,739649.3293983869,2282298.2352690483,405096.1853525467
61,-96.69784660188208,1904000.3947944252,3318477.28550428,1714732.9176746032,1492482.5865010899,619876.5130607024,347353.3487247828,807477.9705258666,2479017.3301732913,443140.5401614513
62,-96.10168931017854,1635517.9839058635,2776250.5731152026,1468468.8895159184,1258978.7583331596,488400.65048731945,286260.32057611796,671742.7558989164,2173216.990427815,360315.5731722934
63,-93.19174052627518,960099.898944528,1710959.4465608664,894182.8223102469,728839.5973578923,293534.9825446074,155779.7766097459,356495.6822304895,1105521.9631257714,161251.37853494362
64,-95.18731368683947,1197257.9205347076,1877566.2380934637,1099557.239028818,957191.3748783644,424578.8108652827,299016.3636223674,670157.3239922662,2058328.3357212422,422940.26084394706
65,-96.42393659728825,1727479.4169516093,2870791.3136784835,1617212.8418369114,1338115.7002338057,530581.0673025724,341438.5163571881,787501.651836533,2484473.940733538,423530.4175441256
66,-94.94973440318094,1369960.9864054364,2487119.630896486,1219800.5703845012,1024930.7317362343,368970.251686245,167217.3440611069,409009.4029464011,1375546.1480151345,160342.2496060039
67,-96.70612509507194,1773541.1797945672,2967703.282790468,1603307.8450431519,1438097.5133794495,670332.7130771939,418806.60538232984,939388.2102323811,2758918.22395709,589454.2835188172
68,-96.82142298405225,1968858.9303181078,3190838.01749996,1803959.529356327,1504926.0454317331,563845.1986603796,372676.5885667933,870893.8361495377,2884892.9718396515,476000.74203258264
69,-95.15711224237387,1380458.6509333712,2365827.24339441,1270079.62933296,1025412.2352158106,355271.4846587269,201653.49591362354,484312.9049915251,1657497.455133632,209913.42361822893
70,-95.71106856873669,1523009.3342339029,2672308.1144058956,1366559.7544656128,1168771.775760218,449842.1935790554,240565.9472924841,570260.384654812,1831354.426884908,283787.38834265387
71,-95.028645682427,1267386.9046130413,2246327.6860255036,1122454.3607238603,1002700.9072230224,429862.4578051987,229922.19518045714,529617.1210402208,1594916.117436272,295947.57319395896
72,-94.36967733474553,1204759.4227568228,2125617.222577119,1088779.9374967157,897404.046328257,323225.2010057911,164196.7990328098,394351.45968487643,1333842.6798168665,166478.10630353238
73,-96.34805441507532,1816723.2845337929,3208535.5806134082,1640196.0049324676,1376910.3379075467,520225.3589405794,270001.9142016564,643134.0154408211,2094372.6842321805,299166.12633495795
74,-94.52006662509453,1141410.4363946856,1922353.978689586,1084868.5526007474,870513.0060989101,355265.20612221153,223133.50016910766,499663.11098324135,1560574.387158969,252151.7697382013
75,-92.79684950494597,941947.7789338335,1695249.9380025817,840043.1395583209,712703.9471883546,263669.4572576591,126408.46593366498,304443.12994666037,1001311.7918510899,131854.64492810148
76,-92.84554432442363,961345.3219814592,1799328.9708320692,875930.0630064757,720374.7987607373,290120.5746290519,126079.3051181323,288638.9422946233,891010.1394394222,105761.52377222838
77,-91.72580237072425,858385.4949675903,1511286.5866721042,794606.5098571201,618916.4951329526,191765.86986785172,95491.89258812524,235168.03940541577,868176.0220288541,64887.60933405395
78,-93.85908734419588,1020283.0599916459,1680837.282232058,929532.819908394,784013.4028234981,301979.6043129321,192090.45046963004,447300.5554419501,1457538.0614357064,244970.20511609194
79,-93.68335573391498,1147329.6169980043,2039653.9636334127,1039163.5151973843,823370.7688799445,246063.62578762372,111062.95318153538,285904.8284760054,1098931.2557766035,70693.31133893345
80,-96.85535401769194,1848004.6523766527,2885546.7706472557,1719174.4221625032,1457486.369699163,638379.8727103715,455401.14033157943,1013546.4323754929,3143636.2063437384,622859.3724758889
81,-95.20835472387425,1380918.5174122201,2308831.8719948023,1258580.8883469573,1028605.145859785,354796.32058206614,212922.8707761532,506113.97704407794,1759108.0916957115,236265.87175334696
82,-95.53893938195807,1360706.839850119,2226239.1168272165,1247976.539767498,1061994.0246403906,441764.0107193583,287091.7422643464,654430.0565228607,2056629.7150986048,379671.4376730546
83,-97.6558085426935,2536807.4977254104,4022060.7478286275,2371933.8545834343,1979670.40572761,819783.155441657,575945.549302954,1305099.4815954322,4113472.016013674,765999.8349525336
84,-93.53548974968695,1043846.9935782279,1882007.8123977948,931450.1192499382,793051.1176158166,293225.68765914335,141531.68584184087,344765.0182941869,1122675.3910700397,152658.07067771116
85,-95.9551302046339,1636944.5817432404,2855924.3077296517,1496516.4095843278,1233773.184464669,455074.86734365736,246997.41113803326,587198.9223721378,1936607.9262633894,267230.95364402066
86,-95.4237744780245,1492264.6383468853,2685615.526674337,1352359.7102259875,1115647.3202640556,409479.5462379463,196820.82332572216,470835.9598257028,1560498.6411066838,188456.6135673491
87,-96.30881921720234,1672618.2759828675,2800612.774340864,1524561.7119221082,1306745.9476077834,533477.5511349847,330247.56840511924,760447.8087966782,2386290.9040986844,428099.07893433486
88,-96.26292053658068,1598491.1829142966,2583276.160511905,1514916.7826978716,1245941.6277757608,523586.4000633728,358210.70125107677,807819.1815356477,2507134.903064849,459496.3137498058
89,-95.07118984150631,1298254.3110905103,2330854.1904083905,1166879.2497033798,1016592.0123344854,428540.4911907178,222837.5485713892,514868.4769379158,1546892.0848771716,268678.18107945414
90,-96.15015600423635,1722919.1809366765,3037808.019879754,1531541.6540708642,1309054.9385959997,498258.2122170228,256623.2201700044,610963.8664123771,1996456.2740677963,295509.05114735477
91,-91.96488769777815,830232.8681031201,1385929.949954842,767081.3294603381,608401.1222037821,207321.83824840887,125627.69634768974,296678.272433021,1043047.1093369914,130241.7570864046
92,-95.77883899643929,1611464.5477515594,2918607.5861719465,1415316.8580352326,1219381.9526746147,463508.88220179116,215008.15273398306,513645.5497707249,1682704.9007454189,229079.3464070705
93,-92.39230259680265,935249.1272878802,1653824.381937154,842774.221555586,679040.964365571,215565.0442023414,102363.02130103779,254069.8026451382,935367.9242284596,79384.19832711255
94,-94.35443587218558,1222668.9496509528,2240304.223948503,1088940.307735928,922182.1037739215,330279.3094450469,146246.00085804248,366106.4991970488,1216482.7282555103,144660.51208976694
95,-96.57082541853937,1742660.9707366333,2867410.3224083073,1582714.4553832414,1377994.1537177507,609293.2703533642,389583.59421578416,873284.4039950866,2669707.6748087825,527684.8571455032
96,-96.05450428352344,1595416.9085884667,2675772.8253760864,1465917.9177150708,1220922.5516616509,493445.90249117883,301649.45621972135,684338.2604822898,2184478.139115122,364234.21228105825
97,-97.58761598868098,2405408.5835535545,3844711.042763786,2220036.0658552125,1920060.435168784,863754.1659829459,590416.3978606386,1314885.67044062,3993797.296829581,815011.2239081196
98,-94.99367869877675,1366544.4194911823,2490882.334880114,1212937.2185680256,1026291.8736403149,399050.7796805409,181196.20979439717,424289.26415834477,1377849.2650326488,179194.5782023338
99,-93.13749528869836,959096.0309996946,1701138.5737602776,869412.9787808015,729670.3683509773,290430.4379455985,151654.12988359985,348161.4342679945,1102895.023957582,163880.73447873374
100,-94.39534342291732,1238056.9740999197,2159775.6635431685,1136725.9031424795,908097.7313270381,283565.93191737565,147506.72729884658,374861.8763140949,1352453.9584891547,132865.49911780067
101,-96.68842392889734,1716769.1757005213,2844204.6268282393,1539404.20843986,1415389.744594026,694366.2681300808,441785.3713311914,977607.434010027,2817792.2902450073,641889.796361944
102,-94.69218870428817,1284054.2822590445,2372212.699729204,1172268.24928968,967553.6901761657,372616.62508457334,170137.6093285493,403226.8295377923,1268801.2316684544,155566.62703738228
103,-96.20812302572149,1762920.3610652788,3080425.120993477,1596666.8131305133,1324423.8745762461,478764.2312149804,253819.14294563353,611559.2979858699,2047325.491638259,275350.2479482866
104,-94.70785126509732,1290863.331923559,2349525.8906758707,1131501.2465008325,975728.7475437744,369660.6030965818,167126.2234394593,403573.5831564757,1324763.4918371106,177863.98793919935
105,-96.28354025181467,1613772.4316088033,2611687.6522640097,1459262.611262636,1273707.8598294272,535114.5469507393,354003.6376589546,805801.6546672408,2523424.763731135,486451.1303959617
106,-93.66625292476664,963902.2727824288,1579613.7521469295,892923.4762981556,749806.2265393337,302935.33867049584,199587.84262851017,457207.92373917496,1440783.5062061106,256883.79767916183
107,-94.9317121590616,1390295.5619461301,2580593.0366474604,1223131.131361643,1037825.066897568,381677.18859173346,155762.90197565287,379015.7449312883,1268266.0049334916,135810.89040385917
108,-95.62813083969101,1498626.2016478344,2654458.641214132,1343717.2817411672,1149552.6628612613,447047.0878266837,232663.17093430695,552909.6558459945,1763153.9025566417,272603.38877784973
109,-95.10756173074671,1351915.1985518946,2330077.940758926,1225275.5762634762,1017785.766363705,366018.1198352035,203591.63979006105,490157.86499976635,1644849.0987323925,230105.58680205746
110,-94.27765613445925,1209356.9716122851,2173148.1991624786,1094878.9088533246,901794.1816328618,306131.74305683846,145604.4018695023,363465.79502180294,1246396.1673433487,134076.18368994864
111,-95.57480665018079,1520747.046105115,2601661.5537780733,1392958.8254651555,1124606.6174668805,383556.69571594545,215298.75680190726,520210.07646489714,1813363.8311526082,222854.70401346695
112,-96.33436950117988,1496067.7584275508,2285770.0534327165,1416336.7282486649,1222428.6926670421,576751.1139143674,430446.8992818906,951675.9044909396,2828137.1352442494,617339.4428945159
113,-92.16765119909121,918053.8101712911,1622681.6639708711,841345.1383072475,659438.7334413213,193565.89474764743,91701.36108465356,238076.81343371514,908497.727345238,60854.98301971609
114,-96.05389976896807,1542646.0090717992,2630598.570656031,1396300.680258175,1220960.0947966275,542929.2556570553,323428.4372563441,725081.4149305961,2179398.9101105155,423149.7969572868
115,-96.05928730364049,1654295.2313993634,2819909.2911533685,1509688.84099767,1252970.7578307136,459685.0810128534,267640.988059748,632524.2306470198,2095658.2282903069,307137.94034151535
116,-93.28050722484461,1013333.8760030713,1899754.8576579068,860899.4563431424,781084.2544976367,322857.5420856509,134036.38439606183,315016.80066780833,972920.4357285773,150867.67627520446
117,-97.06310365495261,2015667.4758568145,3265752.2170931725,1881277.143570115,1589863.7114019308,686994.4149317582,463011.63728742924,1042159.3115463099,3198493.1300152997,615868.7646462896
118,-95.15959592209317,1305234.1458792943,2142983.1261482104,1177099.8881442694,995254.7979170518,385309.3900286109,242150.3216572184,558097.836977573,1841907.1187945053,306982.487949377
119,-94.6334302668133,1112133.839938055,1822985.7567061535,1045193.25849654,875294.5367071998,367839.9580875879,246895.31685945374,561993.1497085362,1722480.1463869214,322207.75798852753
120,-93.04523706988073,915021.4807606427,1580851.9454481704,829637.3509319174,710869.8602106512,275652.84108816105,158059.96883975586,375806.86171367916,1189307.150312638,197343.02016223106
121,-93.4148903167025,1011871.1592439133,1713921.3242460024,928419.6616360447,751044.1245426172,263483.5265167028,154429.29627294725,360462.7210148328,1239676.3888181755,159104.7140255064
122,-90.20236639296942,724388.3326807137,1277325.7812280466,655483.6769146739,524259.24763478414,167697.81077008168,80834.5879142358,199102.55916384124,732562.4538163301,62465.98275365205
123,-96.6039489932914,1818574.9242259786,3040160.83680838,1636821.2896001835,1423451.9886039922,582463.7132952205,358002.194969699,826712.9197856039,2602046.1389781027,475387.9031428699
124,-96.17167627088791,1724735.4497179852,2918873.6847515493,1580290.1685079613,1290408.1198455044,450691.94463563315,264566.65996474714,633528.1823291823,2165978.331534929,293353.1734138229
125,-96.92094144850384,1823222.4211357175,2821167.835820471,1682350.4830311155,1480976.8768807282,676579.7011200278,489645.537647072,1092610.7157740789,3302652.219670265,708444.9939754906
126,-93.80340983649081,1053728.7028274997,1782023.3567519335,941481.2588262459,794690.5489079655,299496.1619312468,171959.45123795923,400695.6267672283,1346843.3425246903,204204.65679398782
